,source,target
0,838136759254978562,1070332391217078273
1,838136759254978562,69098454
2,838136759254978562,1455485081594777612
3,838136759254978562,1131252543412199425
4,838136759254978562,1656073075
5,838136759254978562,284443848
6,838136759254978562,18896884
7,838136759254978562,1501792469507362819
8,838136759254978562,526439855
9,838136759254978562,411713569
10,838136759254978562,1951228699
11,838136759254978562,1605046178
12,838136759254978562,1160502001249280000
13,838136759254978562,1373050159974744064
14,838136759254978562,847392516076851208
15,838136759254978562,711159636989251585
16,838136759254978562,1369567193516683265
17,838136759254978562,50942398
18,838136759254978562,956236592
19,838136759254978562,1275076315297705989
20,838136759254978562,3294010713
21,838136759254978562,409545959
22,838136759254978562,352612489
23,838136759254978562,761584018823479298
24,838136759254978562,2348853575
25,838136759254978562,127261664
26,838136759254978562,984067923718361089
27,838136759254978562,258719968
28,838136759254978562,479333563
29,838136759254978562,176933556
30,838136759254978562,915246066869719041
31,838136759254978562,826788345296670725
32,838136759254978562,776304856046964736
33,838136759254978562,751431918084820996
34,838136759254978562,3375753083
35,838136759254978562,414603074
36,838136759254978562,82709444
37,838136759254978562,481204190
38,838136759254978562,173901228
0,1070332391217078273,1597078683885441030
1,1070332391217078273,781112257
2,1070332391217078273,313597648
3,1070332391217078273,295729645
4,1070332391217078273,375111162
5,1070332391217078273,15783549
6,1070332391217078273,1615102058394173440
7,1070332391217078273,58562212
8,1070332391217078273,2897223278
9,1070332391217078273,1620854078904336405
10,1070332391217078273,1547620097908281351
11,1070332391217078273,196517507
12,1070332391217078273,2843506928
13,1070332391217078273,1628906932236079105
14,1070332391217078273,541659496
15,1070332391217078273,1611112185861644294
16,1070332391217078273,1526325440
17,1070332391217078273,4728719241
18,1070332391217078273,277461135
19,1070332391217078273,243985900
20,1070332391217078273,2584317554
21,1070332391217078273,222120174
22,1070332391217078273,1565044690398879746
23,1070332391217078273,48180463
24,1070332391217078273,1622696943863611392
25,1070332391217078273,21344939
26,1070332391217078273,1053360277
27,1070332391217078273,53809991
28,1070332391217078273,1674513067
29,1070332391217078273,68516094
30,1070332391217078273,59085148
31,1070332391217078273,85988304
32,1070332391217078273,15320715
33,1070332391217078273,995000923
34,1070332391217078273,30940246
35,1070332391217078273,20374187
36,1070332391217078273,1563723656
37,1070332391217078273,319287498
38,1070332391217078273,62879922
39,1070332391217078273,1094862002
40,1070332391217078273,632178958
41,1070332391217078273,1569015461052035072
42,1070332391217078273,3461355375
43,1070332391217078273,518516133
44,1070332391217078273,1073339659223269376
45,1070332391217078273,2743402758
46,1070332391217078273,365412804
47,1070332391217078273,1245905173
48,1070332391217078273,309841072
49,1070332391217078273,429388535
50,1070332391217078273,3407719888
51,1070332391217078273,315319003
52,1070332391217078273,1570103027373314052
53,1070332391217078273,176771871
54,1070332391217078273,345346960
55,1070332391217078273,224773505
56,1070332391217078273,1181874198207184897
57,1070332391217078273,277511969
58,1070332391217078273,71837720
59,1070332391217078273,525657630
60,1070332391217078273,834178110
61,1070332391217078273,255383997
62,1070332391217078273,620077360
63,1070332391217078273,1570005651471859712
64,1070332391217078273,236085095
65,1070332391217078273,720710153
66,1070332391217078273,245443021
67,1070332391217078273,292546131
68,1070332391217078273,562362353
69,1070332391217078273,583125510
70,1070332391217078273,502621710
71,1070332391217078273,419357814
72,1070332391217078273,253880605
73,1070332391217078273,1071989724
74,1070332391217078273,107630263
75,1070332391217078273,191181465
76,1070332391217078273,771583723
77,1070332391217078273,87063089
78,1070332391217078273,497842457
79,1070332391217078273,84690697
80,1070332391217078273,348616403
81,1070332391217078273,1143254089
82,1070332391217078273,197910386
83,1070332391217078273,457320010
84,1070332391217078273,48108039
85,1070332391217078273,863625392
86,1070332391217078273,28395594
87,1070332391217078273,1432373709440946181
88,1070332391217078273,123951460
89,1070332391217078273,1626963568569761794
90,1070332391217078273,1569107254716112896
91,1070332391217078273,47167958
92,1070332391217078273,20722854
93,1070332391217078273,21291836
94,1070332391217078273,26003247
95,1070332391217078273,20230653
96,1070332391217078273,204186989
97,1070332391217078273,25985238
98,1070332391217078273,218975631
99,1070332391217078273,30328417
100,1070332391217078273,36714431
101,1070332391217078273,24784843
102,1070332391217078273,1287384972073082881
103,1070332391217078273,34056938
104,1070332391217078273,151540263
105,1070332391217078273,1533448032406097925
106,1070332391217078273,1513631550994214914
107,1070332391217078273,1491807070999490560
108,1070332391217078273,1566564155573669888
109,1070332391217078273,1519343781853683720
110,1070332391217078273,1528900816999854080
111,1070332391217078273,1438534888320225281
112,1070332391217078273,4551779833
113,1070332391217078273,435762086
114,1070332391217078273,1593641177491812353
115,1070332391217078273,1459265789672841216
116,1070332391217078273,2160023988
117,1070332391217078273,1348469592914612224
118,1070332391217078273,1614216643185414144
119,1070332391217078273,21828017
120,1070332391217078273,1628492831445721097
121,1070332391217078273,1596788203385720832
122,1070332391217078273,1557360505521577984
123,1070332391217078273,1075833747252146181
124,1070332391217078273,1305257716949098497
125,1070332391217078273,1628076578839363585
126,1070332391217078273,1332197707495202816
127,1070332391217078273,3382043211
128,1070332391217078273,216408656
129,1070332391217078273,489003092
130,1070332391217078273,1904125753
131,1070332391217078273,942617025666363393
132,1070332391217078273,183857562
133,1070332391217078273,1884276132
134,1070332391217078273,1463868590575267842
135,1070332391217078273,981741420
136,1070332391217078273,621264054
137,1070332391217078273,350919079
138,1070332391217078273,28699195
139,1070332391217078273,2236490534
140,1070332391217078273,1275423792718888961
141,1070332391217078273,452647309
142,1070332391217078273,1600832841654435840
143,1070332391217078273,85184374
144,1070332391217078273,1526917983805018114
145,1070332391217078273,48999282
146,1070332391217078273,751357463182663680
147,1070332391217078273,1541747676185853952
148,1070332391217078273,257680417
149,1070332391217078273,1321261975
150,1070332391217078273,307374905
151,1070332391217078273,116054879
152,1070332391217078273,1490424485400354817
153,1070332391217078273,517687551
154,1070332391217078273,36543178
155,1070332391217078273,193060872
156,1070332391217078273,1478621280
157,1070332391217078273,1627522163703001088
158,1070332391217078273,1518566196416860160
159,1070332391217078273,278470297
160,1070332391217078273,2532718854
161,1070332391217078273,63535875
